Longitude,Latitude,Depth,MD,Time
14.131333,40.832833,2.43,1.20,2025-04-27 18:58:40.049
14.130667,40.832500,2.59,1.60,2025-04-27 18:54:25.509
14.133833,40.831500,2.39,1.20,2025-04-27 18:51:50.89
14.130167,40.832667,2.31,1.30,2025-04-27 18:51:13.67
14.114667,40.838000,2.21,1.40,2025-04-25 06:36:27.509
14.114667,40.834833,2.13,1.00,2025-04-25 06:32:11.009
14.115167,40.835667,2.47,2.70,2025-04-25 06:28:55.89
14.123000,40.837833,2.66,1.60,2025-04-25 00:12:30.059
14.117333,40.836833,2.70,2.50,2025-04-24 20:26:06.98
14.157333,40.821333,2.55,2.10,2025-04-24 04:21:49.64
14.155667,40.822000,2.89,1.70,2025-04-24 01:56:20.599
14.130167,40.836833,2.25,1.60,2025-04-24 01:00:45.099
14.157333,40.822167,2.54,1.80,2025-04-24 00:11:24.43
14.118167,40.836000,1.83,1.60,2025-04-22 00:22:12.829
14.118667,40.839000,2.58,1.10,2025-04-21 20:08:37.109
14.151667,40.835000,1.90,1.10,2025-04-21 17:47:10.809
14.140833,40.827333,1.89,1.20,2025-04-20 12:15:06.579
14.140667,40.824833,0.86,1.10,2025-04-20 01:56:01.69
14.139667,40.825500,0.77,2.20,2025-04-20 01:53:46.91
14.137000,40.824500,0.67,1.60,2025-04-20 01:48:00.17
14.151667,40.823833,1.45,1.10,2025-04-16 23:19:00.859
14.124167,40.820500,2.60,1.20,2025-04-16 00:25:00.71
14.140167,40.829667,2.48,1.30,2025-04-15 20:53:10.089
14.097833,40.815667,2.62,1.00,2025-04-14 16:03:25.98
14.134667,40.835167,2.37,1.00,2025-04-14 04:00:39.819
14.125833,40.835500,2.21,1.30,2025-04-13 12:28:58.759
14.120667,40.838667,2.62,1.50,2025-04-13 01:10:48.079
14.134333,40.823333,1.22,1.00,2025-04-12 21:46:37.259
14.137167,40.827833,2.18,1.20,2025-04-12 21:39:08.329
14.135667,40.826333,2.23,2.90,2025-04-12 21:29:15.42
14.126167,40.826667,1.89,1.30,2025-04-12 12:59:54.279
14.129667,40.824833,1.80,1.20,2025-04-11 21:02:26.529
14.128833,40.824333,1.66,1.60,2025-04-11 20:59:20.2
14.142167,40.830833,2.94,1.50,2025-04-11 20:56:03.67
14.132333,40.824667,2.25,2.20,2025-04-11 20:55:54.72
14.131000,40.825000,2.38,1.60,2025-04-11 16:07:09.25
14.130667,40.822833,1.64,1.00,2025-04-10 22:30:28.099
14.132167,40.822833,2.44,1.20,2025-04-10 21:38:01.089
14.117833,40.800833,3.56,2.20,2025-04-10 03:19:49.819
14.122833,40.836000,2.74,1.20,2025-04-08 16:27:07.079
14.122667,40.831167,2.09,1.10,2025-04-08 16:19:48.529
14.115500,40.807333,2.88,1.20,2025-04-08 01:21:45.859
14.090000,40.834500,2.52,1.00,2025-04-07 11:39:49.609
14.135333,40.835833,2.18,2.40,2025-04-07 07:43:32.38
14.131000,40.840500,2.22,1.70,2025-04-07 04:11:41.299
14.140000,40.826667,0.83,1.20,2025-04-07 00:56:56.539
14.137667,40.825167,0.89,1.50,2025-04-07 00:55:32.71
14.140000,40.827333,1.91,1.40,2025-04-05 19:20:49.859
14.089000,40.831333,2.55,1.00,2025-04-03 14:07:13.64
14.099167,40.813500,3.45,2.00,2025-04-02 08:27:33.579
14.086667,40.808833,3.76,1.00,2025-04-02 00:37:12.69
14.084000,40.827167,2.83,1.00,2025-03-31 16:00:20.75
14.148667,40.838167,2.64,1.30,2025-03-30 22:29:40.94
14.114500,40.825833,1.76,1.10,2025-03-30 11:05:55.72
14.091000,40.830667,2.61,1.00,2025-03-28 23:30:53.94
14.151667,40.834833,2.40,1.30,2025-03-27 19:04:48.17
14.109333,40.798500,4.79,1.00,2025-03-27 03:43:07.839
14.138833,40.826833,1.05,1.20,2025-03-26 19:11:37.599
14.140333,40.828000,1.28,1.20,2025-03-25 19:51:21.779
14.106333,40.807500,2.51,2.00,2025-03-20 06:32:17.359
14.086667,40.832167,3.01,1.00,2025-03-19 11:54:59.91
14.158167,40.815500,2.58,1.30,2025-03-19 02:52:46.21
14.113500,40.806000,2.32,1.10,2025-03-19 02:48:18.67
14.110000,40.801833,4.49,1.20,2025-03-18 05:40:12.95
14.107833,40.797500,4.57,1.40,2025-03-18 04:01:36.75
14.107667,40.829000,2.43,1.00,2025-03-17 16:07:55.819
14.155333,40.811167,2.83,1.20,2025-03-16 17:37:19.74
14.155167,40.814333,2.68,1.00,2025-03-16 13:18:43.92
14.132333,40.829667,2.86,3.90,2025-03-15 12:32:27.089
14.153000,40.813333,2.32,1.10,2025-03-15 08:28:57.95
14.092000,40.825833,1.94,2.50,2025-03-14 21:42:41.68
14.157500,40.819667,2.76,3.50,2025-03-14 18:44:10.519
14.158167,40.818000,3.05,1.00,2025-03-14 02:52:06.539
14.124167,40.836333,2.64,1.30,2025-03-13 10:09:16.009
14.149667,40.817333,1.27,1.70,2025-03-13 07:24:13.48
14.155333,40.821333,2.99,1.10,2025-03-13 02:26:38.39
14.157333,40.820333,2.96,1.20,2025-03-13 01:27:16.94
14.152667,40.808667,2.40,1.10,2025-03-13 00:47:47.339
14.150833,40.814667,2.31,1.50,2025-03-13 00:40:11.859
14.154333,40.825333,2.20,1.00,2025-03-13 00:26:39.41
14.142333,40.827167,0.26,1.10,2025-03-13 00:26:23.789
14.157500,40.818833,2.41,4.60,2025-03-13 00:25:02.349
14.128167,40.822000,0.98,1.00,2025-03-12 19:51:44.66
14.139167,40.842000,1.27,1.20,2025-03-12 09:13:31.71
14.138667,40.842000,1.16,1.00,2025-03-12 05:27:55.789
14.136000,40.840667,1.85,1.70,2025-03-12 05:25:19.539
14.122167,40.821000,3.01,1.00,2025-03-11 12:54:48.23
14.133833,40.826833,2.40,1.40,2025-03-11 03:02:19.44
14.133833,40.828500,2.04,1.10,2025-03-11 02:51:52.71
14.138500,40.824667,1.66,1.10,2025-03-11 02:49:45.539
14.133833,40.825667,2.62,2.60,2025-03-11 02:43:50.759
14.140167,40.828500,1.49,1.30,2025-03-11 02:11:06.559
14.138000,40.828500,2.48,3.20,2025-03-11 02:04:09.559
14.092000,40.830667,1.73,1.70,2025-03-10 20:55:13.859
14.086833,40.827167,2.96,1.20,2025-03-10 00:41:01.88
14.087000,40.834500,1.72,2.80,2025-03-09 23:59:14.799
14.092000,40.831167,2.27,1.20,2025-03-09 22:46:36.859
14.128167,40.822833,2.30,1.00,2025-03-09 19:08:08.19
14.126500,40.841000,2.56,1.30,2025-03-09 17:09:51.089
14.077000,40.869000,2.22,1.40,2025-03-09 13:25:14.95
14.100500,40.816667,2.96,1.10,2025-03-08 22:09:38.23
14.093500,40.810833,3.20,2.30,2025-03-08 21:29:10.94
14.120167,40.809833,3.42,1.50,2025-03-08 19:52:31.93
14.122667,40.797500,2.75,1.10,2025-03-08 19:39:06.17
14.137333,40.807667,3.22,1.00,2025-03-08 18:54:50.49
14.158333,40.825500,2.79,1.10,2025-03-08 03:58:32.589
14.123000,40.837833,2.63,1.90,2025-03-07 20:44:58.49
14.140167,40.827333,2.22,1.30,2025-03-07 20:00:23.359
14.098500,40.834500,2.27,1.00,2025-03-07 07:55:39.96
14.138500,40.825000,0.69,1.00,2025-03-07 03:46:50.22
14.133667,40.824000,0.36,2.00,2025-03-07 00:44:46.22
14.131833,40.825167,0.52,3.40,2025-03-06 23:38:43.099
14.141833,40.817167,2.79,2.00,2025-03-06 20:46:36.74
14.142333,40.817667,2.94,1.10,2025-03-06 20:46:08.569
14.117167,40.838167,2.54,1.10,2025-03-06 14:21:55.039
14.084500,40.834500,2.66,1.80,2025-03-06 07:26:08.38
14.135833,40.820000,0.27,1.00,2025-03-03 09:06:24.69
14.139333,40.809833,2.73,1.30,2025-03-03 06:54:21.42
14.107333,40.811333,3.48,1.30,2025-03-02 20:57:42.369
14.140500,40.825167,0.24,1.00,2025-03-02 20:27:18.079
14.129667,40.836333,2.43,1.20,2025-03-01 00:53:31.7
14.124667,40.836333,2.56,2.20,2025-03-01 00:53:08.579
14.092000,40.837167,2.09,1.20,2025-02-24 23:58:54.73
14.084333,40.835833,2.70,1.00,2025-02-22 22:05:07.589
14.141500,40.826333,1.52,1.00,2025-02-21 23:23:27.059
14.142000,40.828333,1.85,1.30,2025-02-21 18:26:34.549
14.146167,40.830333,2.28,1.70,2025-02-21 17:32:38.619
14.145833,40.830667,1.93,2.10,2025-02-21 17:15:34.89
14.144667,40.830833,1.91,1.10,2025-02-21 17:15:05.14
14.148500,40.828000,2.19,1.10,2025-02-21 17:14:33.92
14.142667,40.829000,1.95,1.90,2025-02-21 17:13:56.96
14.144000,40.828667,2.28,2.10,2025-02-21 17:13:31.039
14.142833,40.828333,2.16,2.10,2025-02-21 07:53:39.48
14.140667,40.826333,1.89,1.00,2025-02-21 07:01:27.619
14.144667,40.827667,1.81,1.10,2025-02-20 19:14:31.41
14.142833,40.829333,2.27,1.20,2025-02-20 15:00:18.829
14.141667,40.827000,1.73,1.50,2025-02-20 14:15:46.329
14.143333,40.828167,1.65,1.00,2025-02-20 12:55:44.74
14.141000,40.828167,1.44,1.00,2025-02-20 10:43:45.039
14.145000,40.829000,2.89,1.10,2025-02-20 07:58:59.45
14.145500,40.829500,2.77,2.30,2025-02-20 01:34:41.9
14.139667,40.824833,1.74,3.10,2025-02-19 14:55:35.94
14.145000,40.828167,2.53,3.20,2025-02-19 14:55:11.18
14.142167,40.818333,2.72,1.20,2025-02-19 08:51:31.599
14.147167,40.829833,2.13,1.00,2025-02-19 05:53:07.64
14.147333,40.828667,2.07,1.00,2025-02-19 04:28:22.309
14.151667,40.833000,2.52,1.60,2025-02-19 04:12:49.42
14.146167,40.830000,2.21,3.00,2025-02-19 03:04:15.519
14.144500,40.831333,1.51,1.00,2025-02-19 01:47:47.269
14.147667,40.832333,2.16,1.60,2025-02-19 01:46:07.93
14.146500,40.831333,1.73,1.00,2025-02-19 01:30:00.21
14.148000,40.834500,2.06,3.10,2025-02-19 00:31:12.549
14.142333,40.828333,1.25,1.10,2025-02-18 21:31:27.48
14.142500,40.828000,1.30,1.20,2025-02-18 19:13:25.619
14.139833,40.825000,0.70,1.00,2025-02-18 14:46:37.619
14.147333,40.831333,1.79,1.00,2025-02-18 13:47:57.74
14.146167,40.830500,2.08,1.10,2025-02-18 13:27:30.69
14.145500,40.831333,1.43,1.00,2025-02-18 13:06:56.45
14.144000,40.826000,1.26,1.10,2025-02-18 11:35:39.17
14.144667,40.825833,1.08,1.00,2025-02-18 10:08:35.609
14.138667,40.824000,1.77,1.20,2025-02-18 10:08:07.71
14.143333,40.826500,1.21,1.00,2025-02-18 09:44:17.869
14.144833,40.827500,2.35,2.30,2025-02-18 09:28:57.339
14.141167,40.824667,0.96,1.00,2025-02-18 08:06:59.69
14.144000,40.827667,1.40,1.20,2025-02-18 08:01:26.259
14.142833,40.828333,1.31,1.00,2025-02-18 07:47:56.829
14.141333,40.828667,1.38,1.20,2025-02-18 07:02:59.38
14.144833,40.826667,1.68,1.00,2025-02-18 06:36:06.43
14.141667,40.827500,1.61,1.60,2025-02-18 06:31:40.64
14.140833,40.827500,1.33,1.30,2025-02-18 06:25:46.359
14.151667,40.830000,1.82,1.00,2025-02-18 05:26:41.18
14.148333,40.831333,1.89,1.30,2025-02-18 05:02:13.18
14.147833,40.831333,1.92,1.60,2025-02-18 03:21:35.89
14.143333,40.829667,1.88,1.00,2025-02-18 02:26:02.279
14.142000,40.827333,1.46,2.30,2025-02-18 02:22:37.079
14.142333,40.831333,2.15,3.10,2025-02-18 02:22:19.809
14.145167,40.827667,1.32,1.50,2025-02-18 02:22:11.059
14.140167,40.827500,1.34,1.10,2025-02-18 02:04:08.73
14.144500,40.828500,1.89,1.60,2025-02-18 01:44:03.98
14.144167,40.827333,1.99,1.70,2025-02-18 01:40:46.609
14.131833,40.823167,2.16,1.00,2025-02-18 01:20:53.13
14.143500,40.829333,1.60,1.50,2025-02-18 01:19:30.599
14.142667,40.829333,1.96,1.20,2025-02-18 01:13:28.23
14.110167,40.808833,3.82,1.20,2025-02-18 01:03:49.64
14.142167,40.827833,2.33,2.00,2025-02-18 00:28:48.079
14.144333,40.829000,1.37,1.00,2025-02-18 00:08:08.7
14.146000,40.829000,2.23,2.40,2025-02-18 00:06:36.96
14.145167,40.829167,1.93,1.70,2025-02-17 23:52:42.89
14.142167,40.827833,1.63,1.60,2025-02-17 23:51:22.95
14.143000,40.828667,1.49,1.00,2025-02-17 23:48:32.299
14.142000,40.827833,1.52,1.10,2025-02-17 23:29:36.95
14.144500,40.829500,1.59,1.70,2025-02-17 23:19:04.779
14.142333,40.828500,1.50,1.10,2025-02-17 23:09:13.96
14.143833,40.827167,1.57,1.80,2025-02-17 22:56:42.329
14.143667,40.828833,1.47,1.30,2025-02-17 22:24:20.69
14.143333,40.830000,1.91,1.80,2025-02-17 22:23:40.309
14.151667,40.829833,2.23,1.00,2025-02-17 21:42:45.519
14.146167,40.831333,1.72,1.30,2025-02-17 21:32:09.96
14.147833,40.831333,1.83,1.40,2025-02-17 21:20:20.819
14.145500,40.831333,1.70,1.40,2025-02-17 21:15:36.349
14.147833,40.831333,1.62,1.10,2025-02-17 20:28:47.45
14.145833,40.829333,1.77,1.70,2025-02-17 20:24:32.42
14.140167,40.828667,1.86,2.60,2025-02-17 20:23:44
14.143000,40.830000,1.91,1.80,2025-02-17 20:18:40.88
14.138833,40.827000,1.09,1.60,2025-02-17 20:05:35.94
14.144000,40.829833,1.41,1.00,2025-02-17 20:03:40.41
14.144000,40.829000,1.76,1.00,2025-02-17 19:56:48.269
14.143167,40.828667,1.38,1.40,2025-02-17 19:53:57.289
14.141167,40.828000,1.76,1.00,2025-02-17 19:39:20.269
14.140833,40.827833,1.71,1.50,2025-02-17 19:29:26.4
14.142333,40.829167,1.74,1.70,2025-02-17 19:02:14.4
14.143500,40.826333,1.26,1.20,2025-02-17 18:47:10.2
14.146167,40.827167,1.47,1.20,2025-02-17 18:46:43.89
14.144500,40.826333,1.63,1.20,2025-02-17 18:32:58.609
14.146500,40.826833,1.59,1.70,2025-02-17 18:03:55.299
14.145333,40.829167,2.34,1.20,2025-02-17 17:59:49.94
14.143167,40.826833,1.73,1.00,2025-02-17 17:56:12.869
14.143833,40.827167,1.91,2.60,2025-02-17 17:55:34.96
14.146167,40.830500,1.69,1.00,2025-02-17 17:53:21.19
14.142167,40.826000,2.21,1.70,2025-02-17 17:41:40.299
14.145167,40.828833,1.49,1.10,2025-02-17 17:22:59.349
14.148000,40.829167,2.46,2.60,2025-02-17 17:15:54.2
14.146167,40.830000,2.26,1.10,2025-02-17 17:14:31.319
14.137833,40.826000,1.73,1.10,2025-02-17 16:56:10.46
14.143167,40.828167,1.84,2.80,2025-02-17 16:53:24.99
14.142000,40.826000,2.23,1.20,2025-02-17 16:53:05.119
14.130167,40.830333,2.08,1.00,2025-02-17 15:48:51.18
14.126000,40.831167,3.10,1.60,2025-02-17 15:42:18.029
14.128333,40.829500,3.17,1.10,2025-02-17 12:56:48.599
14.128167,40.828667,2.83,1.20,2025-02-17 12:51:30.069
14.106000,40.828833,2.51,1.70,2025-02-17 12:43:11.009
14.135667,40.829167,2.72,1.30,2025-02-17 12:18:22.17
14.128833,40.827667,2.60,1.00,2025-02-17 12:03:36.99
14.128000,40.834500,2.79,1.50,2025-02-17 11:55:17.339
14.128667,40.830167,1.71,1.20,2025-02-17 11:54:09.75
14.130000,40.836000,2.32,1.00,2025-02-17 11:52:31.029
14.108500,40.830000,2.85,1.20,2025-02-17 11:50:23.599
14.133500,40.830500,2.51,1.70,2025-02-17 11:47:04.45
14.129500,40.831500,2.72,1.00,2025-02-17 11:40:50.019
14.109000,40.837333,2.96,2.20,2025-02-17 11:33:06.619
14.129667,40.836333,2.62,1.30,2025-02-17 11:30:45.819
14.126000,40.831500,2.67,2.80,2025-02-17 11:26:32.029
14.126333,40.832000,2.82,2.20,2025-02-17 11:26:22.68
14.111833,40.835833,2.20,1.30,2025-02-17 10:11:24.48
14.137000,40.822833,0.74,1.10,2025-02-17 09:21:28.49
14.147000,40.820333,1.22,1.60,2025-02-17 09:01:55.559
14.136000,40.822167,0.72,2.20,2025-02-17 08:39:38.14
14.134000,40.831500,2.68,1.40,2025-02-17 07:45:15.42
14.111167,40.837500,2.90,1.50,2025-02-17 07:42:02.819
14.140167,40.830333,2.31,1.30,2025-02-17 07:23:47.589
14.140833,40.827167,0.86,1.50,2025-02-17 07:14:20.079
14.139167,40.828000,2.16,2.80,2025-02-17 07:14:11.559
14.140167,40.827333,1.70,1.20,2025-02-17 07:12:29.65
14.137667,40.831500,2.49,3.20,2025-02-17 07:12:10.529
14.143667,40.829167,1.79,1.00,2025-02-17 06:47:06.339
14.137000,40.829833,2.33,1.30,2025-02-17 06:45:26.359
14.102167,40.807500,3.87,1.30,2025-02-17 05:02:28.019
14.137000,40.821667,0.92,1.20,2025-02-17 04:19:34.19
14.138000,40.821667,1.10,1.70,2025-02-17 04:18:41.15
14.144833,40.820333,0.32,2.40,2025-02-17 04:04:21.4
14.121500,40.826333,2.26,1.00,2025-02-17 03:25:30.94
14.127833,40.824333,2.58,1.60,2025-02-17 03:20:59.16
